Fund ID,Department ID,Program ID,Account ID,Estimates 2022
1001,46206,101,510999,"148,308"
1001,46206,101,510506,-
1001,46206,101,510509,-
1001,46206,101,510519,-
1001,46206,101,520515,-
1001,46206,101,520520,"-1,116"
1001,46206,101,520521,"-148,612"
1001,46206,101,520522,"-47,982"
1001,46206,101,520523,"-11,222"
1001,46206,101,520527,"-43,029"
1001,46206,101,520536,-
1001,46206,101,520999,"62,149"
1001,46206,101,530642,"-1,500"
1001,46206,101,530650,"-5,690"
1001,46206,101,530667,"-25,000"
1001,46206,101,540660,"-10,000"
1001,46206,101,550601,-540
1001,46206,101,550602,"-1,008"
1001,46206,101,550603,-
1001,46206,201,550605,-100
1001,46206,101,550606,-940
1001,46206,101,550652,-200
1001,46206,101,560620,-
1001,46206,101,560625,-950
1001,46206,101,560631,"-1,545"
1001,46206,101,570711,-
1001,46206,300,585612,"-150,000"
1001,46206,357,585616,"-5,000"
1001,46206,101,585651,-
1001,46206,230,585652,-
1001,46206,240,585652,"-300,000"
1001,46206,280,585652,"-42,500"
1001,46250,101,510501,"-371,780"
1001,46250,101,510503,"-2,500"
1001,46250,101,510509,-
1001,46250,101,520515,-
1001,46250,101,510519,-
1001,46250,101,520520,-512
1001,46250,101,520521,"-63,446"
1001,46250,101,520522,"-23,050"
1001,46250,101,520523,"-5,391"
1001,46250,101,520527,"-20,671"
1001,46250,101,530650,"-6,300"
1001,46250,101,530667,"-1,050,000"
1001,46250,101,530675,"-25,000"
1001,46250,101,550601,"-1,500"
1001,46250,101,550602,-500
1001,46250,101,550605,-200
1001,46250,101,550606,"-5,000"
1001,46250,101,560620,-
1001,46250,101,560631,"-2,000"
1001,46260,101,510501,"-295,958"
1001,46260,101,510503,-500
1001,46260,101,510506,-168
1001,46260,101,520515,-
1001,46260,101,520520,-387
1001,46260,101,520521,"-48,307"
1001,46260,101,520522,"-17,594"
1001,46260,101,520523,"-4,291"
1001,46260,101,520527,"-16,455"
1001,46260,101,530649,"-50,000"
1001,46260,101,530650,-500
1001,46260,101,530658,-
1001,46260,101,530667,"-203,076"
1001,46260,101,540668,"-25,000"
1001,46260,101,550601,-200
1001,46260,101,550602,"-13,325"
1001,46260,101,550603,"-4,000"
1001,46260,101,550690,"-50,000"
1001,46260,101,550605,-150
1001,46260,101,560620,"-9,000"
1001,46260,101,570665,-
1001,46260,101,560625,-
1001,46260,101,581807,
1001,46260,101,581808,
1001,46260,101,583670,-
1001,46260,101,591890,-
1001,46260,101,585651,"-55,000"
1001,46260,231,585652,"-175,000"
1001,46260,232,585652,"-571,500"
1001,46260,233,585652,"-184,500"
1001,41300,101,510501,"-629,216"
1001,41300,171,510501,-
1001,41300,101,510502,"-120,000"
1001,41300,101,510503,"-10,000"
1001,41300,101,510507,"-380,000"
1001,41300,101,510515,-
1001,41300,101,510522,"1,500,000"
1001,41300,101,510523,-
1001,41300,101,510999,700
1001,41300,101,510506,"-1,512"
1001,41300,101,510519,-
1001,41300,101,520515,"-55,000"
1001,41300,101,520520,-651
1001,41300,101,520521,"-115,041"
1001,41300,101,520522,"-36,769"
1001,41300,171,520522,-
1001,41300,101,520523,"-9,124"
1001,41300,171,520523,-
